strategy,threshold,tp,fp,fn,tn,precision,recall,specificity,false_positive_rate,accuracy
primary,0.25,1,0,68,14,1.0,0.014492753623188406,1.0,0.0,0.18072289156626506
secondary,0.25,1,0,68,14,1.0,0.014492753623188406,1.0,0.0,0.18072289156626506
full_ensemble,0.25,1,0,68,14,1.0,0.014492753623188406,1.0,0.0,0.18072289156626506
cascade,0.25,1,0,68,14,1.0,0.014492753623188406,1.0,0.0,0.18072289156626506
