epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1166.81,1.43009,1.84497,3.28043,0.01067,1.47838,0.80201,0.11312,0.33773,0.1807,0.7833,0.1041,0.34289,0.18006,1.3562,1.7919,5.64838,0.0166,0,0.00101377,0.00101377,0.00101377
29,1205.66,1.48261,1.58413,3.00532,0.0091,1.39406,0.65968,0.1773,0.35373,0.19167,0.65968,0.1773,0.35514,0.18784,1.37193,1.75011,5.57637,0.0173,0,0.00103622,0.00103622,0.00103622
30,1245.15,1.45998,1.85738,3.32313,0.01068,1.60976,0.56839,0.21978,0.35456,0.19526,0.56839,0.21978,0.3544,0.17879,1.29779,1.71875,5.29584,0.01482,0,0.00105768,0.00105768,0.00105768
31,1284.63,1.39683,1.76538,2.89159,0.01025,1.11194,0.52404,0.20655,0.36156,0.18653,0.55165,0.21716,0.36972,0.18129,1.30847,1.7183,5.2453,0.01445,0,0.00107815,0.00107815,0.00107815
32,1323.32,1.4054,1.53557,3.22566,0.01176,1.1898,0.51606,0.38445,0.42558,0.21828,0.53483,0.38446,0.43603,0.21464,1.41517,1.70935,5.05283,0.01653,0,0.00109763,0.00109763,0.00109763
33,1362.02,1.42564,1.6835,3.06812,0.00944,1.42116,0.51056,0.3568,0.39815,0.21038,0.53475,0.3694,0.41698,0.19966,1.47125,1.63722,5.02673,0.01741,0,0.00111612,0.00111612,0.00111612
34,1401.32,1.36832,1.52302,2.91844,0.01075,1.1507,0.49373,0.34136,0.41812,0.21518,0.49373,0.34136,0.41638,0.21246,1.43798,1.61841,4.73748,0.01788,0,0.00112239,0.00112239,0.00112239
35,1440.67,1.39367,1.72017,2.84046,0.01172,1.08442,0.51643,0.40061,0.45166,0.24806,0.51891,0.40282,0.45326,0.23276,1.33489,1.55458,4.48417,0.01522,0,0.00110589,0.00110589,0.00110589
36,1482.37,1.36022,1.66655,2.78967,0.00934,1.16303,0.44958,0.40816,0.40908,0.19699,0.46504,0.44167,0.41904,0.17102,1.52632,1.91149,4.35944,0.01846,0,0.00108938,0.00108938,0.00108938
37,1523.43,1.47198,1.59708,2.82374,0.01133,1.1104,0.42997,0.40406,0.40429,0.18349,0.4566,0.42447,0.42946,0.17162,1.53799,1.84363,4.30354,0.0186,0,0.00107288,0.00107288,0.00107288
38,1564.82,1.49857,1.62856,2.87932,0.01236,0.93996,0.48727,0.37575,0.45381,0.22495,0.47787,0.3573,0.44915,0.21549,1.50067,1.67632,4.12856,0.01687,0,0.00105638,0.00105638,0.00105638
39,1604.24,1.41054,1.58856,2.6464,0.01038,0.87108,0.51128,0.35176,0.4614,0.24093,0.48772,0.35128,0.45138,0.21782,1.46404,1.70235,4.03965,0.01595,0,0.00103987,0.00103987,0.00103987
40,1642.95,1.38332,1.72076,2.61209,0.00992,0.94966,0.45872,0.36899,0.45578,0.22928,0.4777,0.38381,0.44396,0.21559,1.41108,1.5244,4.03821,0.01669,0,0.00102337,0.00102337,0.00102337
41,1682.01,1.3961,1.62596,2.6589,0.01041,0.94722,0.45031,0.46502,0.44977,0.22489,0.44964,0.45197,0.46723,0.22834,1.36329,1.52864,3.9641,0.01669,0,0.00100687,0.00100687,0.00100687
42,1721.26,1.35604,1.46678,2.56635,0.0117,0.81636,0.41725,0.51787,0.46199,0.25103,0.43018,0.52864,0.47453,0.2383,1.41096,1.53365,3.66097,0.01673,0,0.000990365,0.000990365,0.000990365
43,1760.35,1.40264,1.55689,2.51136,0.01015,0.78115,0.40344,0.54918,0.47164,0.25966,0.43362,0.53857,0.47547,0.24165,1.39547,1.49065,3.5685,0.01632,0,0.000973861,0.000973861,0.000973861
44,1799.31,1.43588,1.56147,2.5799,0.01232,0.97943,0.45015,0.50539,0.50455,0.28154,0.47373,0.5244,0.50911,0.26406,1.4101,1.5026,3.36831,0.01681,0,0.000957358,0.000957358,0.000957358
45,1838.3,1.53238,1.72418,2.57207,0.01056,0.94778,0.47237,0.5056,0.51451,0.28118,0.50362,0.51401,0.53055,0.26661,1.479,1.47037,3.31268,0.018,0,0.000940855,0.000940855,0.000940855
46,1877.44,1.51321,1.42328,2.38003,0.01117,0.88197,0.52503,0.49136,0.5168,0.26916,0.53718,0.5244,0.54572,0.26406,1.53138,1.40973,3.33385,0.01932,0,0.000924352,0.000924352,0.000924352
47,1916.31,1.43032,1.63227,2.36106,0.01292,0.81367,0.49449,0.47732,0.50813,0.25511,0.49526,0.50017,0.50748,0.23979,1.48458,1.39468,3.25273,0.01891,0,0.000907848,0.000907848,0.000907848
48,1956.94,1.3999,1.62935,2.42552,0.01147,0.99235,0.50749,0.50014,0.50847,0.26408,0.49932,0.50189,0.51285,0.25585,1.38512,1.45877,3.20332,0.01661,0,0.000891345,0.000891345,0.000891345
49,1995.81,1.37864,1.7061,2.32199,0.00954,0.8814,0.49049,0.59298,0.55445,0.28833,0.48162,0.58037,0.54547,0.26954,1.40208,1.46147,3.13393,0.01618,0,0.000874842,0.000874842,0.000874842
50,2035.61,1.40303,1.41941,2.22348,0.00987,0.83351,0.48847,0.56157,0.55325,0.29596,0.50806,0.57757,0.57022,0.26534,1.43677,1.50497,3.03707,0.01798,0,0.000858338,0.000858338,0.000858338
51,2075.24,1.32219,1.57757,2.15276,0.01,0.76353,0.50147,0.636,0.56657,0.30111,0.54644,0.60073,0.56409,0.27247,1.38289,1.46586,2.96509,0.01746,0,0.000841835,0.000841835,0.000841835
52,2114.46,1.29502,1.57094,2.17429,0.00952,0.66966,0.521,0.59899,0.57674,0.30476,0.51335,0.61317,0.57909,0.29185,1.39352,1.43709,2.83689,0.01699,0,0.000825332,0.000825332,0.000825332
53,2152.73,1.40414,1.3992,2.20336,0.0106,0.71311,0.52176,0.59282,0.5633,0.30519,0.53746,0.61184,0.58665,0.29307,1.4136,1.41274,2.80462,0.01666,0,0.000808828,0.000808828,0.000808828
54,2194.81,1.44416,1.43706,2.25487,0.01145,0.7581,0.47943,0.49252,0.55082,0.32913,0.49181,0.47689,0.55772,0.29766,1.3386,1.39697,2.72335,0.01564,0,0.000792325,0.000792325,0.000792325
55,2236.88,1.45779,1.51492,2.14736,0.01085,0.76963,0.49833,0.48524,0.55788,0.33741,0.53484,0.49434,0.56982,0.3034,1.36313,1.39983,2.65824,0.01629,0,0.000775822,0.000775822,0.000775822
56,2276.78,1.36535,1.46835,2.14185,0.01112,0.77188,0.60256,0.5508,0.59634,0.35075,0.60858,0.53232,0.61134,0.32816,1.3908,1.30172,2.62643,0.01666,0,0.000759318,0.000759318,0.000759318
57,2316.63,1.37537,1.82093,2.06531,0.01082,0.78724,0.57182,0.57937,0.61178,0.3567,0.59032,0.5986,0.6302,0.33966,1.33658,1.25888,2.58761,0.01571,0,0.000742815,0.000742815,0.000742815
58,2356.63,1.34329,1.45796,1.98611,0.0096,0.83837,0.62778,0.56976,0.64624,0.37413,0.64218,0.57834,0.65845,0.37445,1.31458,1.24047,2.47616,0.01496,0,0.000726312,0.000726312,0.000726312
59,2394.95,1.26617,1.64087,1.98049,0.0089,0.66057,0.58728,0.65223,0.64919,0.37733,0.62453,0.65012,0.66526,0.37642,1.32076,1.25715,2.45175,0.01509,0,0.000709809,0.000709809,0.000709809
60,2433.99,1.37317,1.30769,1.96558,0.00997,0.75828,0.54423,0.68627,0.66129,0.37179,0.56479,0.70083,0.67868,0.37464,1.40283,1.25669,2.34041,0.01618,0,0.000693305,0.000693305,0.000693305
