epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,53.8403,2.45798,3.53224,6.35116,0.02071,7.76092,0.00223,0.30398,0.01594,0.01179,0.00217,0.28211,0.01472,0.00988,1.81585,2.69916,8.28722,0.02387,0,8.335e-05,8.335e-05,8.335e-05
2,104.028,1.93865,2.83879,6.68234,0.02004,7.28336,0.00295,0.35924,0.01863,0.0099,0.00491,0.54142,0.02331,0.01004,1.9913,2.48655,8.2341,0.02543,0,0.000183007,0.000183007,0.000183007
3,154.532,1.54564,2.47893,5.74875,0.01119,6.3593,0.00497,0.51137,0.06475,0.03504,0.00653,0.64469,0.05928,0.02851,1.90757,2.33277,8.08345,0.02421,0,0.000282268,0.000282268,0.000282268
4,204.314,1.391,1.9736,5.58208,0.01074,5.73066,0.0056,0.57682,0.08866,0.04458,0.00681,0.69333,0.07526,0.0339,1.97705,2.19145,8.07458,0.0249,0,0.000381133,0.000381133,0.000381133
5,254.254,1.45067,1.93068,5.34824,0.01006,5.07155,0.00569,0.65772,0.15234,0.08513,0.00655,0.73158,0.14688,0.06674,1.78747,1.99221,7.82929,0.02181,0,0.000479601,0.000479601,0.000479601
6,294.938,1.35411,1.57977,5.44657,0.01005,4.48274,0.00585,0.70459,0.13893,0.0784,0.0064,0.75743,0.14542,0.05841,1.47767,1.96098,7.4696,0.01649,0,0.000577674,0.000577674,0.000577674
7,329.482,1.33982,1.95129,5.69747,0.01109,3.9405,0.0069,0.73201,0.18512,0.09733,0.00747,0.78065,0.19235,0.07945,1.44709,1.7125,7.38727,0.01549,0,0.00067535,0.00067535,0.00067535
8,381.097,1.47368,1.99698,4.47358,0.01016,3.55408,0.00808,0.75102,0.19224,0.09398,0.00827,0.78087,0.19051,0.07777,1.5432,1.78849,7.4577,0.01807,0,0.000772631,0.000772631,0.000772631
9,433.213,1.71553,2.06867,5.05511,0.01378,3.19494,0.00833,0.70039,0.21628,0.11647,0.00889,0.75566,0.20426,0.08236,1.45921,1.70633,7.21354,0.01728,0,0.000869515,0.000869515,0.000869515
10,484.012,1.44732,1.61928,4.57213,0.01324,2.85404,0.00819,0.7152,0.20855,0.10189,0.00845,0.74284,0.20131,0.08399,1.49444,1.79404,7.06361,0.01736,0,0.000966003,0.000966003,0.000966003
11,535.031,1.64731,1.91011,4.37106,0.0126,2.54473,0.01041,0.78286,0.23632,0.10973,0.0113,0.81647,0.23224,0.10221,1.62185,1.78336,7.03705,0.01842,0,0.0010621,0.0010621,0.0010621
12,585.568,1.5847,2.1358,4.43003,0.01239,2.23851,0.01268,0.80785,0.31192,0.13573,0.01283,0.81847,0.25731,0.11535,1.5103,1.9068,6.66542,0.01679,0,0.00115779,0.00115779,0.00115779
13,633.958,1.47301,1.59937,4.26192,0.01198,2.08579,0.60642,0.24191,0.35708,0.18267,0.60702,0.22688,0.34281,0.17905,1.43355,1.72471,6.26958,0.01712,0,0.00125309,0.00125309,0.00125309
14,682.505,1.44046,2.23487,4.27795,0.01153,2.04223,0.51999,0.25441,0.34101,0.1695,0.53942,0.25861,0.35404,0.1822,1.54384,1.84188,6.15312,0.01888,0,0.001348,0.001348,0.001348
15,730.216,1.77742,2.30044,4.79527,0.01224,2.13718,0.52887,0.15504,0.26575,0.12211,0.52144,0.14863,0.29684,0.13719,1.61413,2.10471,6.14171,0.01938,0,0.0014425,0.0014425,0.0014425
16,775.132,1.68196,1.79531,4.13338,0.0138,1.98048,0.42909,0.23632,0.31665,0.13071,0.47439,0.26456,0.3523,0.17635,1.57465,2.06682,5.80348,0.01864,0,0.00153662,0.00153662,0.00153662
17,809.352,1.71026,1.92423,3.81991,0.01368,1.66813,0.36791,0.40325,0.31472,0.13528,0.34959,0.38866,0.31027,0.15146,1.56888,2.27428,5.60026,0.02054,0,0.00161419,0.00161419,0.00161419
18,842.871,1.51967,1.84709,3.49074,0.01237,1.40809,0.26821,0.36037,0.2521,0.09754,0.27787,0.35617,0.24709,0.11552,1.6721,2.42934,5.64924,0.02184,0,0.00161089,0.00161089,0.00161089
19,876.632,1.58377,1.92499,3.41181,0.01238,1.44322,0.28095,0.36813,0.27854,0.11169,0.28585,0.37034,0.28094,0.12319,1.65857,1.9877,5.59744,0.02067,0,0.00160759,0.00160759,0.00160759
20,910.131,1.68958,2.00977,3.69731,0.01395,1.6512,0.41849,0.29186,0.28441,0.11423,0.40175,0.26929,0.24024,0.08501,1.80667,2.36414,5.67228,0.0213,0,0.00160429,0.00160429,0.00160429
21,943.992,1.53794,1.74596,3.39988,0.01379,1.27528,0.34763,0.29229,0.2597,0.10548,0.31316,0.27386,0.2346,0.09287,1.7106,2.15736,5.3263,0.02066,0,0.00160099,0.00160099,0.00160099
22,977.868,1.55128,1.7953,3.51936,0.01316,1.2933,0.29491,0.29958,0.28629,0.12788,0.28087,0.30333,0.26374,0.10663,1.6741,1.76181,4.87818,0.01857,0,0.00159769,0.00159769,0.00159769
23,1011.88,1.64445,1.82882,3.09512,0.01236,1.345,0.3326,0.32078,0.3022,0.13385,0.28632,0.30796,0.26759,0.10716,1.76109,1.85061,4.82341,0.01992,0,0.00159439,0.00159439,0.00159439
24,1046.03,1.61831,1.67516,3.32337,0.01385,1.30487,0.36676,0.36345,0.3005,0.13015,0.34471,0.37185,0.26717,0.10273,1.66117,2.03185,4.50605,0.01742,0,0.00159108,0.00159108,0.00159108
25,1080.28,1.55948,1.9236,3.13473,0.01101,1.26093,0.34252,0.3482,0.30212,0.13293,0.3341,0.3524,0.27185,0.10775,1.6325,2.13699,4.41104,0.0185,0,0.00158778,0.00158778,0.00158778
26,1114.32,1.67992,1.89012,3.19078,0.01292,1.27282,0.30652,0.39887,0.33012,0.15496,0.27504,0.46472,0.26445,0.1194,1.61209,1.84059,4.07081,0.02048,0,0.00158448,0.00158448,0.00158448
27,1148.18,1.52667,1.57307,2.99952,0.01119,1.05798,0.28092,0.41877,0.29063,0.11745,0.24778,0.39997,0.22093,0.08797,1.81668,2.02415,4.19072,0.02234,0,0.00158118,0.00158118,0.00158118
28,1182.54,1.65168,1.75398,2.92381,0.01211,0.94116,0.25841,0.43224,0.29968,0.13453,0.21314,0.49925,0.23028,0.10605,1.59556,1.79339,3.9941,0.0196,0,0.00157788,0.00157788,0.00157788
29,1216.56,1.58106,1.58737,3.01659,0.0102,1.14776,0.26398,0.47515,0.32603,0.15905,0.26595,0.49327,0.33745,0.14709,1.60677,1.63518,3.81535,0.02024,0,0.00157458,0.00157458,0.00157458
30,1250.76,1.57013,1.79514,3.08989,0.01237,1.17856,0.31879,0.37718,0.32536,0.14149,0.3095,0.38582,0.31839,0.13674,1.65961,1.78935,3.74246,0.02065,0,0.00157128,0.00157128,0.00157128
31,1284.91,1.49289,1.82942,2.72412,0.01127,1.06038,0.28458,0.45987,0.33197,0.15215,0.3037,0.49612,0.33987,0.16607,1.63406,1.68094,3.63881,0.02019,0,0.00156798,0.00156798,0.00156798
