epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1039.65,1.71596,1.47695,4.45917,0.01968,0.71262,0.55257,0.62529,0.61019,0.29078,0.65929,0.6637,0.68563,0.33273,1.68889,1.3931,4.86132,0.0245,0,0.00151847,0.00151847,0.00151847
29,1067.51,1.63804,1.37235,4.14099,0.01701,0.66609,0.69163,0.55397,0.66292,0.33128,0.53494,0.71841,0.64949,0.33219,1.63317,1.42003,4.61941,0.0225,0,0.00151297,0.00151297,0.00151297
30,1095.19,1.64296,1.44362,4.10346,0.01931,0.65707,0.66961,0.58467,0.637,0.3124,0.63004,0.61684,0.63455,0.31312,1.5782,1.4998,4.30536,0.02209,0,0.00150747,0.00150747,0.00150747
31,1123,1.68364,1.40313,4.24895,0.01748,0.72872,0.62119,0.64313,0.62337,0.28429,0.63555,0.63672,0.61797,0.30704,1.72943,1.35421,4.17276,0.02337,0,0.00150197,0.00150197,0.00150197
32,1150.73,1.68987,1.40861,4.29444,0.0182,0.65008,0.56809,0.63807,0.63835,0.29835,0.60446,0.66392,0.63609,0.32195,1.58702,1.46641,4.80179,0.02071,0,0.00149647,0.00149647,0.00149647
33,1178.37,1.7145,1.4402,4.32129,0.01922,0.71066,0.69367,0.63429,0.67815,0.32034,0.71521,0.64512,0.69163,0.34554,1.66414,1.48489,4.17942,0.02375,0,0.00149096,0.00149096,0.00149096
34,1206.44,1.64857,1.49442,4.24065,0.01732,0.65125,0.73445,0.65331,0.69291,0.34193,0.75909,0.66193,0.69548,0.35919,1.73606,1.45585,3.81582,0.02483,0,0.00148546,0.00148546,0.00148546
35,1234.19,1.63621,1.37461,4.00689,0.01802,0.69814,0.68796,0.64932,0.69347,0.35159,0.7041,0.68137,0.70587,0.34076,1.74795,1.51239,4.40546,0.02647,0,0.00147996,0.00147996,0.00147996
36,1261.88,1.65118,1.45074,4.05503,0.01873,0.7065,0.74098,0.63346,0.69005,0.34692,0.73311,0.6614,0.70168,0.3498,1.70397,1.4232,3.84784,0.02495,0,0.00147446,0.00147446,0.00147446
37,1289.85,1.66449,1.43041,3.97709,0.01734,0.69333,0.73023,0.54102,0.65642,0.3102,0.74452,0.55798,0.67321,0.35822,1.65122,1.48141,4.18525,0.02375,0,0.00146896,0.00146896,0.00146896
38,1317.52,1.5653,1.44549,3.75789,0.01692,0.59403,0.66999,0.63745,0.64433,0.29651,0.70421,0.68536,0.691,0.31947,1.84787,1.46809,4.42958,0.03058,0,0.00146346,0.00146346,0.00146346
39,1345.25,1.61441,1.34175,3.6764,0.01839,0.60826,0.74515,0.70716,0.73138,0.36165,0.74686,0.71824,0.73208,0.37785,1.6512,1.38586,3.66702,0.02484,0,0.00145796,0.00145796,0.00145796
40,1373.29,1.58865,1.36865,3.81108,0.01677,0.57831,0.72457,0.70207,0.70076,0.35373,0.74086,0.73158,0.72246,0.39497,1.69536,1.39891,4.07711,0.02223,0,0.00145246,0.00145246,0.00145246
41,1401.24,1.57162,1.36708,3.67439,0.01639,0.65291,0.70403,0.68259,0.68119,0.34426,0.7218,0.6766,0.71132,0.36677,1.65261,1.3788,3.71128,0.02415,0,0.00144696,0.00144696,0.00144696
42,1429.3,1.54029,1.3786,3.61135,0.01659,0.55667,0.72089,0.63893,0.69159,0.36573,0.76379,0.67639,0.73187,0.38064,1.53843,1.35124,4.05753,0.02312,0,0.00144145,0.00144145,0.00144145
43,1457.91,1.53039,1.38063,3.5273,0.01706,0.52389,0.70109,0.66591,0.68708,0.32433,0.81279,0.67651,0.749,0.34121,1.72633,1.44944,3.9012,0.02304,0,0.00143595,0.00143595,0.00143595
44,1486.06,1.55466,1.39933,3.57924,0.01768,0.59999,0.76342,0.65644,0.68667,0.33252,0.84577,0.66615,0.73909,0.35271,1.65044,1.43719,3.99839,0.02275,0,0.00143045,0.00143045,0.00143045
45,1514.21,1.58853,1.51585,3.7272,0.01742,0.55967,0.75178,0.7226,0.7381,0.34408,0.79289,0.76215,0.76888,0.39701,1.66079,1.40491,4.18579,0.02429,0,0.00142495,0.00142495,0.00142495
46,1541.72,1.50866,1.2974,3.47085,0.0165,0.63586,0.78473,0.60101,0.70892,0.38714,0.75855,0.65352,0.72896,0.39014,1.59038,1.43276,3.54948,0.02233,0,0.00141945,0.00141945,0.00141945
47,1569.75,1.57386,1.34475,3.60864,0.01717,0.59278,0.72967,0.68619,0.6875,0.3348,0.75659,0.70569,0.7164,0.35674,1.76746,1.42202,3.80302,0.02599,0,0.00141395,0.00141395,0.00141395
48,1598.51,1.55788,1.37452,3.5897,0.01637,0.60244,0.63508,0.69796,0.67759,0.35042,0.65281,0.70437,0.68839,0.35998,1.58914,1.41542,3.59771,0.02266,0,0.00140845,0.00140845,0.00140845
49,1626.38,1.53083,1.34135,3.31724,0.01558,0.59473,0.66568,0.66359,0.68242,0.35096,0.67108,0.69775,0.69073,0.35572,1.74585,1.41852,3.5923,0.02606,0,0.00140295,0.00140295,0.00140295
50,1653.95,1.42143,1.30568,3.27214,0.0151,0.54793,0.73029,0.65993,0.73316,0.38178,0.73516,0.67275,0.73291,0.39906,1.60093,1.35565,3.55815,0.02129,0,0.00139745,0.00139745,0.00139745
51,1681.79,1.44815,1.23311,3.1028,0.01558,0.59269,0.77482,0.62076,0.69541,0.35129,0.78747,0.65331,0.72611,0.37872,1.78,1.29854,3.80208,0.02641,0,0.00139195,0.00139195,0.00139195
52,1709.59,1.45242,1.2926,3.26365,0.01524,0.53988,0.71201,0.70315,0.73296,0.38824,0.71835,0.70956,0.73329,0.40113,1.61701,1.38822,3.81748,0.022,0,0.00138644,0.00138644,0.00138644
53,1737.56,1.49597,1.27886,3.44634,0.01483,0.639,0.71877,0.68051,0.70475,0.36092,0.77243,0.69905,0.73108,0.36364,1.5785,1.42136,3.60911,0.02221,0,0.00138094,0.00138094,0.00138094
54,1765.29,1.53882,1.44527,3.53897,0.01714,0.65432,0.7203,0.63996,0.68788,0.35863,0.74865,0.66658,0.7269,0.37749,1.58222,1.43853,3.69979,0.02128,0,0.00137544,0.00137544,0.00137544
55,1793.37,1.43547,1.29715,3.25843,0.01567,0.62223,0.73968,0.7119,0.74686,0.38723,0.77394,0.67895,0.71865,0.38924,1.59588,1.43691,3.78517,0.02213,0,0.00136994,0.00136994,0.00136994
56,1821.02,1.46531,1.29902,3.12809,0.01532,0.56672,0.75212,0.71671,0.73351,0.37739,0.75971,0.69775,0.72764,0.39398,1.66877,1.39854,3.37159,0.02364,0,0.00136444,0.00136444,0.00136444
57,1852.08,1.52336,1.30562,3.27973,0.01634,0.62475,0.79938,0.65751,0.71703,0.37506,0.81534,0.68999,0.7459,0.39172,1.54315,1.40781,3.83732,0.02126,0,0.00135894,0.00135894,0.00135894
58,1879.79,1.45641,1.26631,2.92176,0.01629,0.51599,0.73102,0.74397,0.73015,0.36933,0.74698,0.74107,0.73771,0.39305,1.65381,1.4712,3.63765,0.02515,0,0.00135344,0.00135344,0.00135344
59,1907.45,1.51178,1.29643,3.31228,0.01709,0.62591,0.72629,0.65788,0.67565,0.33755,0.75629,0.69751,0.72591,0.37112,1.70986,1.48979,3.76249,0.02422,0,0.00134794,0.00134794,0.00134794
60,1950.47,1.457,1.17927,3.18123,0.01659,0.49897,0.7487,0.66392,0.7173,0.36177,0.77121,0.71919,0.74538,0.38803,1.6008,1.35363,3.57724,0.0228,0,0.00134244,0.00134244,0.00134244
61,2012.93,1.45424,1.31803,3.23442,0.0147,0.55946,0.71337,0.67938,0.6633,0.34571,0.77367,0.73855,0.74956,0.36826,1.67032,1.37319,3.39682,0.0243,0,0.00133693,0.00133693,0.00133693
62,2040.78,1.48156,1.20741,3.22152,0.01446,0.51445,0.76467,0.64668,0.69311,0.35881,0.83358,0.71057,0.77552,0.39385,1.70207,1.41044,3.57542,0.02567,0,0.00133143,0.00133143,0.00133143
