experiment,kind,members,threshold,eligible_events,recalled_events,event_recall,excluded_event_hits,detector_images,detector_image_hits,eligible_detector_image_hits,detector_image_hit_rate,wall_seconds,mean_inference_ms
c2psa@640,single,c2psa@640,0.5,104,66,0.6346153846153846,6,429,87,81,0.20279720279720279,21.430706699999973,42.20543706295628
c2psa@640,single,c2psa@640,0.6,104,55,0.5288461538461539,6,429,71,65,0.1655011655011655,21.430706699999973,42.20543706295628
c2psa@768,single,c2psa@768,0.01,104,102,0.9807692307692307,46,429,256,190,0.5967365967365967,32.60768530000041,66.05087668997528
c2psa@768,single,c2psa@768,0.05,104,98,0.9423076923076923,33,429,205,169,0.47785547785547783,32.60768530000041,66.05087668997528
c2psa@768,single,c2psa@768,0.1,104,95,0.9134615384615384,27,429,183,154,0.42657342657342656,32.60768530000041,66.05087668997528
c2psa@768,single,c2psa@768,0.15,104,92,0.8846153846153846,20,429,165,143,0.38461538461538464,32.60768530000041,66.05087668997528
c2psa@768,single,c2psa@768,0.2,104,89,0.8557692307692307,16,429,150,132,0.34965034965034963,32.60768530000041,66.05087668997528
c2psa@768,single,c2psa@768,0.25,104,87,0.8365384615384616,14,429,140,125,0.32634032634032634,32.60768530000041,66.05087668997528
c2psa@768,single,c2psa@768,0.3,104,84,0.8076923076923077,11,429,130,119,0.30303030303030304,32.60768530000041,66.05087668997528
c2psa@768,single,c2psa@768,0.4,104,75,0.7211538461538461,9,429,107,98,0.2494172494172494,32.60768530000041,66.05087668997528
c2psa@768,single,c2psa@768,0.5,104,65,0.625,7,429,91,84,0.21212121212121213,32.60768530000041,66.05087668997528
c2psa@768,single,c2psa@768,0.6,104,56,0.5384615384615384,5,429,75,70,0.17482517482517482,32.60768530000041,66.05087668997528
baseline@multiscale,multiscale,baseline@512+baseline@640+baseline@768,0.01,104,103,0.9903846153846154,37,429,253,205,0.5897435897435898,44.89916579999954,73.9474496503769
baseline@multiscale,multiscale,baseline@512+baseline@640+baseline@768,0.05,104,101,0.9711538461538461,29,429,215,181,0.5011655011655012,44.89916579999954,73.9474496503769
baseline@multiscale,multiscale,baseline@512+baseline@640+baseline@768,0.1,104,100,0.9615384615384616,25,429,200,171,0.4662004662004662,44.89916579999954,73.9474496503769
baseline@multiscale,multiscale,baseline@512+baseline@640+baseline@768,0.15,104,98,0.9423076923076923,22,429,185,161,0.43123543123543123,44.89916579999954,73.9474496503769
baseline@multiscale,multiscale,baseline@512+baseline@640+baseline@768,0.2,104,98,0.9423076923076923,21,429,176,153,0.41025641025641024,44.89916579999954,73.9474496503769
baseline@multiscale,multiscale,baseline@512+baseline@640+baseline@768,0.25,104,96,0.9230769230769231,17,429,168,149,0.3916083916083916,44.89916579999954,73.9474496503769
baseline@multiscale,multiscale,baseline@512+baseline@640+baseline@768,0.3,104,96,0.9230769230769231,16,429,163,145,0.37995337995337997,44.89916579999954,73.9474496503769
baseline@multiscale,multiscale,baseline@512+baseline@640+baseline@768,0.4,104,94,0.9038461538461539,14,429,152,136,0.3543123543123543,44.89916579999954,73.9474496503769
baseline@multiscale,multiscale,baseline@512+baseline@640+baseline@768,0.5,104,87,0.8365384615384616,11,429,135,122,0.3146853146853147,44.89916579999954,73.9474496503769
baseline@multiscale,multiscale,baseline@512+baseline@640+baseline@768,0.6,104,82,0.7884615384615384,8,429,123,113,0.2867132867132867,44.89916579999954,73.9474496503769
c2psa@multiscale,multiscale,c2psa@512+c2psa@640+c2psa@768,0.01,104,103,0.9903846153846154,51,429,295,211,0.6876456876456877,67.32675560000098,131.92128181823446
c2psa@multiscale,multiscale,c2psa@512+c2psa@640+c2psa@768,0.05,104,100,0.9615384615384616,39,429,234,184,0.5454545454545454,67.32675560000098,131.92128181823446
c2psa@multiscale,multiscale,c2psa@512+c2psa@640+c2psa@768,0.1,104,98,0.9423076923076923,32,429,210,173,0.48951048951048953,67.32675560000098,131.92128181823446
c2psa@multiscale,multiscale,c2psa@512+c2psa@640+c2psa@768,0.15,104,97,0.9326923076923077,29,429,196,164,0.4568764568764569,67.32675560000098,131.92128181823446
c2psa@multiscale,multiscale,c2psa@512+c2psa@640+c2psa@768,0.2,104,97,0.9326923076923077,21,429,181,157,0.4219114219114219,67.32675560000098,131.92128181823446
