experiment,kind,members,threshold,eligible_events,recalled_events,event_recall,excluded_event_hits,detector_images,detector_image_hits,eligible_detector_image_hits,detector_image_hit_rate,wall_seconds,mean_inference_ms
attention@640,single,attention@640,0.25,104,88,0.8461538461538461,11,432,128,117,0.2962962962962963,21.291833499999484,41.32436736109976
attention@640,single,attention@640,0.3,104,81,0.7788461538461539,9,432,114,105,0.2638888888888889,21.291833499999484,41.32436736109976
attention@640,single,attention@640,0.36,104,74,0.7115384615384616,7,432,104,97,0.24074074074074073,21.291833499999484,41.32436736109976
attention@640,single,attention@640,0.4,104,73,0.7019230769230769,6,432,99,93,0.22916666666666666,21.291833499999484,41.32436736109976
attention@640,single,attention@640,0.5,104,66,0.6346153846153846,6,432,87,81,0.2013888888888889,21.291833499999484,41.32436736109976
attention@640,single,attention@640,0.6,104,55,0.5288461538461539,6,432,71,65,0.16435185185185186,21.291833499999484,41.32436736109976
attention@768,single,attention@768,0.01,104,103,0.9903846153846154,46,432,259,193,0.5995370370370371,32.63927870000043,65.88836388890597
attention@768,single,attention@768,0.05,104,99,0.9519230769230769,33,432,206,170,0.47685185185185186,32.63927870000043,65.88836388890597
attention@768,single,attention@768,0.1,104,96,0.9230769230769231,27,432,184,155,0.42592592592592593,32.63927870000043,65.88836388890597
attention@768,single,attention@768,0.14,104,94,0.9038461538461539,21,432,169,146,0.3912037037037037,32.63927870000043,65.88836388890597
attention@768,single,attention@768,0.2,104,89,0.8557692307692307,16,432,150,132,0.3472222222222222,32.63927870000043,65.88836388890597
attention@768,single,attention@768,0.25,104,87,0.8365384615384616,14,432,140,125,0.32407407407407407,32.63927870000043,65.88836388890597
attention@768,single,attention@768,0.3,104,84,0.8076923076923077,11,432,130,119,0.30092592592592593,32.63927870000043,65.88836388890597
attention@768,single,attention@768,0.36,104,79,0.7596153846153846,10,432,117,107,0.2708333333333333,32.63927870000043,65.88836388890597
attention@768,single,attention@768,0.4,104,75,0.7211538461538461,9,432,107,98,0.24768518518518517,32.63927870000043,65.88836388890597
attention@768,single,attention@768,0.5,104,65,0.625,7,432,91,84,0.21064814814814814,32.63927870000043,65.88836388890597
attention@768,single,attention@768,0.6,104,56,0.5384615384615384,5,432,75,70,0.1736111111111111,32.63927870000043,65.88836388890597
baseline@multiscale,multiscale,baseline@512+baseline@640+baseline@768,0.01,104,104,1.0,37,432,255,207,0.5902777777777778,42.100620600000184,72.35135069442498
baseline@multiscale,multiscale,baseline@512+baseline@640+baseline@768,0.05,104,102,0.9807692307692307,29,432,217,183,0.5023148148148148,42.100620600000184,72.35135069442498
baseline@multiscale,multiscale,baseline@512+baseline@640+baseline@768,0.1,104,101,0.9711538461538461,25,432,202,173,0.4675925925925926,42.100620600000184,72.35135069442498
baseline@multiscale,multiscale,baseline@512+baseline@640+baseline@768,0.14,104,100,0.9615384615384616,22,432,190,166,0.4398148148148148,42.100620600000184,72.35135069442498
baseline@multiscale,multiscale,baseline@512+baseline@640+baseline@768,0.2,104,99,0.9519230769230769,21,432,178,155,0.41203703703703703,42.100620600000184,72.35135069442498
baseline@multiscale,multiscale,baseline@512+baseline@640+baseline@768,0.25,104,97,0.9326923076923077,17,432,170,151,0.39351851851851855,42.100620600000184,72.35135069442498
baseline@multiscale,multiscale,baseline@512+baseline@640+baseline@768,0.3,104,97,0.9326923076923077,16,432,165,147,0.3819444444444444,42.100620600000184,72.35135069442498
baseline@multiscale,multiscale,baseline@512+baseline@640+baseline@768,0.36,104,95,0.9134615384615384,15,432,157,140,0.36342592592592593,42.100620600000184,72.35135069442498
baseline@multiscale,multiscale,baseline@512+baseline@640+baseline@768,0.4,104,95,0.9134615384615384,14,432,153,137,0.3541666666666667,42.100620600000184,72.35135069442498
baseline@multiscale,multiscale,baseline@512+baseline@640+baseline@768,0.5,104,88,0.8461538461538461,11,432,136,123,0.3148148148148148,42.100620600000184,72.35135069442498
baseline@multiscale,multiscale,baseline@512+baseline@640+baseline@768,0.6,104,82,0.7884615384615384,8,432,123,113,0.2847222222222222,42.100620600000184,72.35135069442498
attention@multiscale,multiscale,attention@512+attention@640+attention@768,0.01,104,104,1.0,51,432,298,214,0.6898148148148148,67.14734110000063,130.55650416665307
attention@multiscale,multiscale,attention@512+attention@640+attention@768,0.05,104,101,0.9711538461538461,39,432,236,186,0.5462962962962963,67.14734110000063,130.55650416665307
attention@multiscale,multiscale,attention@512+attention@640+attention@768,0.1,104,99,0.9519230769230769,32,432,212,175,0.49074074074074076,67.14734110000063,130.55650416665307
attention@multiscale,multiscale,attention@512+attention@640+attention@768,0.14,104,98,0.9423076923076923,30,432,199,166,0.46064814814814814,67.14734110000063,130.55650416665307
attention@multiscale,multiscale,attention@512+attention@640+attention@768,0.2,104,98,0.9423076923076923,21,432,182,158,0.4212962962962963,67.14734110000063,130.55650416665307
attention@multiscale,multiscale,attention@512+attention@640+attention@768,0.25,104,97,0.9326923076923077,19,432,169,147,0.3912037037037037,67.14734110000063,130.55650416665307
attention@multiscale,multiscale,attention@512+attention@640+attention@768,0.3,104,96,0.9230769230769231,18,432,163,142,0.3773148148148148,67.14734110000063,130.55650416665307
attention@multiscale,multiscale,attention@512+attention@640+attention@768,0.36,104,93,0.8942307692307693,16,432,153,136,0.3541666666666667,67.14734110000063,130.55650416665307
attention@multiscale,multiscale,attention@512+attention@640+attention@768,0.4,104,93,0.8942307692307693,14,432,148,133,0.3425925925925926,67.14734110000063,130.55650416665307
attention@multiscale,multiscale,attention@512+attention@640+attention@768,0.5,104,90,0.8653846153846154,11,432,136,125,0.3148148148148148,67.14734110000063,130.55650416665307
attention@multiscale,multiscale,attention@512+attention@640+attention@768,0.6,104,83,0.7980769230769231,8,432,118,110,0.27314814814814814,67.14734110000063,130.55650416665307
ensemble@512,model_ensemble,baseline@512+attention@512,0.01,104,104,1.0,44,432,253,195,0.5856481481481481,23.799631000000772,39.72423425925079
ensemble@512,model_ensemble,baseline@512+attention@512,0.05,104,100,0.9615384615384616,26,432,205,173,0.47453703703703703,23.799631000000772,39.72423425925079
ensemble@512,model_ensemble,baseline@512+attention@512,0.1,104,99,0.9519230769230769,21,432,188,164,0.4351851851851852,23.799631000000772,39.72423425925079
ensemble@512,model_ensemble,baseline@512+attention@512,0.14,104,99,0.9519230769230769,19,432,182,160,0.4212962962962963,23.799631000000772,39.72423425925079
ensemble@512,model_ensemble,baseline@512+attention@512,0.2,104,95,0.9134615384615384,14,432,166,149,0.38425925925925924,23.799631000000772,39.72423425925079
ensemble@512,model_ensemble,baseline@512+attention@512,0.25,104,93,0.8942307692307693,14,432,161,144,0.3726851851851852,23.799631000000772,39.72423425925079
ensemble@512,model_ensemble,baseline@512+attention@512,0.3,104,92,0.8846153846153846,14,432,155,138,0.3587962962962963,23.799631000000772,39.72423425925079
ensemble@512,model_ensemble,baseline@512+attention@512,0.36,104,90,0.8653846153846154,13,432,149,133,0.3449074074074074,23.799631000000772,39.72423425925079
ensemble@512,model_ensemble,baseline@512+attention@512,0.4,104,86,0.8269230769230769,13,432,141,125,0.3263888888888889,23.799631000000772,39.72423425925079
ensemble@512,model_ensemble,baseline@512+attention@512,0.5,104,83,0.7980769230769231,12,432,126,113,0.2916666666666667,23.799631000000772,39.72423425925079
ensemble@512,model_ensemble,baseline@512+attention@512,0.6,104,75,0.7211538461538461,11,432,111,99,0.2569444444444444,23.799631000000772,39.72423425925079
ensemble@640,model_ensemble,baseline@640+attention@640,0.01,104,104,1.0,42,432,273,211,0.6319444444444444,34.8852083999991,65.03078333333355
ensemble@640,model_ensemble,baseline@640+attention@640,0.05,104,101,0.9711538461538461,32,432,215,177,0.4976851851851852,34.8852083999991,65.03078333333355
ensemble@640,model_ensemble,baseline@640+attention@640,0.1,104,101,0.9711538461538461,26,432,200,170,0.46296296296296297,34.8852083999991,65.03078333333355
ensemble@640,model_ensemble,baseline@640+attention@640,0.14,104,101,0.9711538461538461,23,432,185,160,0.42824074074074076,34.8852083999991,65.03078333333355
ensemble@640,model_ensemble,baseline@640+attention@640,0.2,104,100,0.9615384615384616,19,432,178,157,0.41203703703703703,34.8852083999991,65.03078333333355
ensemble@640,model_ensemble,baseline@640+attention@640,0.25,104,100,0.9615384615384616,16,432,170,152,0.39351851851851855,34.8852083999991,65.03078333333355
ensemble@640,model_ensemble,baseline@640+attention@640,0.3,104,97,0.9326923076923077,13,432,157,142,0.36342592592592593,34.8852083999991,65.03078333333355
ensemble@640,model_ensemble,baseline@640+attention@640,0.36,104,91,0.875,12,432,146,132,0.33796296296296297,34.8852083999991,65.03078333333355
ensemble@640,model_ensemble,baseline@640+attention@640,0.4,104,89,0.8557692307692307,10,432,137,126,0.31712962962962965,34.8852083999991,65.03078333333355
ensemble@640,model_ensemble,baseline@640+attention@640,0.5,104,82,0.7884615384615384,9,432,122,113,0.2824074074074074,34.8852083999991,65.03078333333355
ensemble@640,model_ensemble,baseline@640+attention@640,0.6,104,76,0.7307692307692307,8,432,109,101,0.2523148148148148,34.8852083999991,65.03078333333355
ensemble@768,model_ensemble,baseline@768+attention@768,0.01,104,104,1.0,52,432,291,216,0.6736111111111112,50.56312230000094,98.15283726849371
ensemble@768,model_ensemble,baseline@768+attention@768,0.05,104,102,0.9807692307692307,36,432,239,197,0.5532407407407407,50.56312230000094,98.15283726849371
ensemble@768,model_ensemble,baseline@768+attention@768,0.1,104,100,0.9615384615384616,29,432,215,182,0.4976851851851852,50.56312230000094,98.15283726849371
ensemble@768,model_ensemble,baseline@768+attention@768,0.14,104,99,0.9519230769230769,27,432,200,171,0.46296296296296297,50.56312230000094,98.15283726849371
ensemble@768,model_ensemble,baseline@768+attention@768,0.2,104,97,0.9326923076923077,22,432,184,160,0.42592592592592593,50.56312230000094,98.15283726849371
ensemble@768,model_ensemble,baseline@768+attention@768,0.25,104,97,0.9326923076923077,19,432,175,154,0.4050925925925926,50.56312230000094,98.15283726849371
ensemble@768,model_ensemble,baseline@768+attention@768,0.3,104,95,0.9134615384615384,18,432,168,148,0.3888888888888889,50.56312230000094,98.15283726849371
ensemble@768,model_ensemble,baseline@768+attention@768,0.36,104,92,0.8846153846153846,17,432,156,137,0.3611111111111111,50.56312230000094,98.15283726849371
ensemble@768,model_ensemble,baseline@768+attention@768,0.4,104,91,0.875,16,432,149,131,0.3449074074074074,50.56312230000094,98.15283726849371
ensemble@768,model_ensemble,baseline@768+attention@768,0.5,104,84,0.8076923076923077,13,432,134,119,0.3101851851851852,50.56312230000094,98.15283726849371
ensemble@768,model_ensemble,baseline@768+attention@768,0.6,104,77,0.7403846153846154,9,432,115,105,0.2662037037037037,50.56312230000094,98.15283726849371
ensemble@multiscale,full_ensemble,baseline@512+baseline@640+baseline@768+attention@512+attention@640+attention@768,0.01,104,104,1.0,54,432,318,228,0.7361111111111112,109.24796170000081,202.90785486107805
ensemble@multiscale,full_ensemble,baseline@512+baseline@640+baseline@768+attention@512+attention@640+attention@768,0.05,104,103,0.9903846153846154,44,432,261,203,0.6041666666666666,109.24796170000081,202.90785486107805
ensemble@multiscale,full_ensemble,baseline@512+baseline@640+baseline@768+attention@512+attention@640+attention@768,0.1,104,102,0.9807692307692307,36,432,235,192,0.5439814814814815,109.24796170000081,202.90785486107805
ensemble@multiscale,full_ensemble,baseline@512+baseline@640+baseline@768+attention@512+attention@640+attention@768,0.14,104,102,0.9807692307692307,34,432,221,183,0.5115740740740741,109.24796170000081,202.90785486107805
ensemble@multiscale,full_ensemble,baseline@512+baseline@640+baseline@768+attention@512+attention@640+attention@768,0.2,104,101,0.9711538461538461,29,432,206,174,0.47685185185185186,109.24796170000081,202.90785486107805
ensemble@multiscale,full_ensemble,baseline@512+baseline@640+baseline@768+attention@512+attention@640+attention@768,0.25,104,101,0.9711538461538461,24,432,194,167,0.44907407407407407,109.24796170000081,202.90785486107805
ensemble@multiscale,full_ensemble,baseline@512+baseline@640+baseline@768+attention@512+attention@640+attention@768,0.3,104,101,0.9711538461538461,23,432,188,162,0.4351851851851852,109.24796170000081,202.90785486107805
ensemble@multiscale,full_ensemble,baseline@512+baseline@640+baseline@768+attention@512+attention@640+attention@768,0.36,104,100,0.9615384615384616,22,432,182,157,0.4212962962962963,109.24796170000081,202.90785486107805
ensemble@multiscale,full_ensemble,baseline@512+baseline@640+baseline@768+attention@512+attention@640+attention@768,0.4,104,100,0.9615384615384616,19,432,174,152,0.4027777777777778,109.24796170000081,202.90785486107805
ensemble@multiscale,full_ensemble,baseline@512+baseline@640+baseline@768+attention@512+attention@640+attention@768,0.5,104,99,0.9519230769230769,15,432,162,145,0.375,109.24796170000081,202.90785486107805
ensemble@multiscale,full_ensemble,baseline@512+baseline@640+baseline@768+attention@512+attention@640+attention@768,0.6,104,95,0.9134615384615384,11,432,147,134,0.3402777777777778,109.24796170000081,202.90785486107805
